Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE Selected Categories: 'STATISTICS%20%26%20PROBABILITY' Selected Category Scheme: WoS,,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
84,STOCHASTIC ANALYSIS AND APPLICATIONS,741,0.630,0.002320,
84,Stochastics-An International Journal of Probability and Stochastic Reports,411,0.630,0.001930,
86,COMBINATORICS PROBABILITY & COMPUTING,749,0.627,0.004760,
86,Quality Technology and Quantitative Management,161,0.627,0.000600,
88,Statistical Methodology,308,0.604,0.002320,
89,ESAIM-Probability and Statistics,233,0.600,0.001440,
90,METRIKA,671,0.595,0.002050,
91,LAW PROBABILITY & RISK,108,0.594,0.000300,
92,INTERNATIONAL JOURNAL OF GAME THEORY,"1,116",0.577,0.002880,
93,APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,470,0.574,0.001510,
93,Statistical Analysis and Data Mining,243,0.574,0.001910,
95,ALEA-Latin American Journal of Probability and Mathematical Statistics,173,0.550,0.001630,
96,Sequential Analysis-Design Methods and Applications,298,0.544,0.000940,
97,STATISTICS,314,0.530,0.001800,
98,COMPUTATIONAL STATISTICS,498,0.520,0.002210,
99,STATISTICS & PROBABILITY LETTERS,"3,204",0.506,0.011420,
100,Markov Processes and Related Fields,246,0.484,0.001200,
101,ELECTRONIC COMMUNICATIONS IN PROBABILITY,456,0.467,0.004700,
101,Journal of Official Statistics,628,0.467,0.001310,
103,JOURNAL OF THEORETICAL PROBABILITY,653,0.466,0.002400,
104,JOURNAL OF NONPARAMETRIC STATISTICS,582,0.446,0.003020,
105,Mathematical Population Studies,134,0.444,0.000250,
106,STATISTICA NEERLANDICA,555,0.432,0.001380,
107,AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,466,0.431,0.000960,
108,Brazilian Journal of Probability and Statistics,92,0.420,0.000870,
109,JOURNAL OF APPLIED STATISTICS,"1,608",0.419,0.004540,
109,REVSTAT-Statistical Journal,132,0.419,0.000880,
111,SORT-Statistics and Operations Research Transactions,74,0.414,0.000450,
112,CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,928,0.413,0.002370,
113,THEORY OF PROBABILITY AND ITS APPLICATIONS,"1,282",0.408,0.001610,
114,COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,"1,080",0.397,0.002600,
115,PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,421,0.390,0.000930,
116,Statistical Methods and Applications,184,0.375,0.000740,
117,STOCHASTIC MODELS,400,0.360,0.001250,
118,Journal of the Korean Statistical Society,199,0.353,0.001300,
119,Probability and Mathematical Statistics-Poland,193,0.315,0.000870,
120,COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,"2,501",0.300,0.005540,
121,Hacettepe Journal of Mathematics and Statistics,222,0.277,0.000750,
122,UTILITAS MATHEMATICA,414,0.273,0.001220,
123,Survey Methodology,585,0.270,0.000760,
Copyright © 2017 Thomson Reuters,,,,, 1 
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,
